name,surname,bday
PIOTR,PIOTR_47,1980-2-10
KRZYSZTOF,KRZYSZTOF_31,2007-6-27
ANDRZEJ,ANDRZEJ_149,2012-7-18
TOMASZ,TOMASZ_130,1990-10-1
PAWEŁ,PAWEŁ_39,1991-4-2
JAN,JAN_94,2008-6-28
MICHAŁ,MICHAŁ_103,1981-6-8
MARCIN,MARCIN_161,1999-9-21
JAKUB,JAKUB_146,1987-5-24
ADAM,ADAM_105,2011-1-8
STANISŁAW,STANISŁAW_183,2001-6-12
MAREK,MAREK_42,2005-1-23
ŁUKASZ,ŁUKASZ_48,2018-9-23
GRZEGORZ,GRZEGORZ_75,1994-10-16
MATEUSZ,MATEUSZ_1,2004-7-26
WOJCIECH,WOJCIECH_101,2012-11-18
MARIUSZ,MARIUSZ_82,2014-12-12
DARIUSZ,DARIUSZ_162,2012-6-14
ZBIGNIEW,ZBIGNIEW_39,1997-7-6
MACIEJ,MACIEJ_167,2008-10-19
RAFAŁ,RAFAŁ_112,2003-2-28
ROBERT,ROBERT_186,1991-4-25
JERZY,JERZY_74,1997-4-1
KAMIL,KAMIL_123,1994-7-20
JACEK,JACEK_95,2012-3-6
JÓZEF,JÓZEF_67,2007-12-27
DAWID,DAWID_37,2006-3-27
SZYMON,SZYMON_166,1997-2-15
TADEUSZ,TADEUSZ_186,1983-3-8
RYSZARD,RYSZARD_148,1989-12-10
KACPER,KACPER_132,2003-12-20
BARTOSZ,BARTOSZ_1,2013-8-20
JAROSŁAW,JAROSŁAW_122,2014-10-26
JANUSZ,JANUSZ_79,1985-12-4
SŁAWOMIR,SŁAWOMIR_94,2020-2-25
ARTUR,ARTUR_119,2014-11-10
MIROSŁAW,MIROSŁAW_142,1984-4-17
SEBASTIAN,SEBASTIAN_29,2013-3-23
DAMIAN,DAMIAN_89,2020-6-10
HENRYK,HENRYK_190,1992-1-8
PATRYK,PATRYK_34,2015-8-4
DANIEL,DANIEL_12,2019-10-9
PRZEMYSŁAW,PRZEMYSŁAW_190,2009-1-13
KAROL,KAROL_93,2006-9-13
ROMAN,ROMAN_73,1983-3-24
KAZIMIERZ,KAZIMIERZ_165,2013-12-23
FILIP,FILIP_24,2013-1-4
ANTONI,ANTONI_19,2008-6-26
WIESŁAW,WIESŁAW_145,1986-6-19
ADRIAN,ADRIAN_113,2007-9-25
MARIAN,MARIAN_178,2007-9-1
ALEKSANDER,ALEKSANDER_67,1981-8-14
ARKADIUSZ,ARKADIUSZ_45,2015-11-20
DOMINIK,DOMINIK_10,2016-6-23
FRANCISZEK,FRANCISZEK_137,1986-10-28
BARTŁOMIEJ,BARTŁOMIEJ_185,2001-5-6
MIKOŁAJ,MIKOŁAJ_91,2000-10-10
LESZEK,LESZEK_122,2019-11-20
WALDEMAR,WALDEMAR_122,1983-5-12
KRYSTIAN,KRYSTIAN_115,1989-4-14
WIKTOR,WIKTOR_29,1992-3-1
ZDZISŁAW,ZDZISŁAW_147,1989-9-24
RADOSŁAW,RADOSŁAW_97,2008-2-21
BOGDAN,BOGDAN_107,1997-2-9
KONRAD,KONRAD_81,1984-12-24
EDWARD,EDWARD_169,2003-11-4
MIECZYSŁAW,MIECZYSŁAW_157,1997-10-19
HUBERT,HUBERT_103,2003-8-28
WŁADYSŁAW,WŁADYSŁAW_180,2014-9-13
IGOR,IGOR_60,2017-9-24
CZESŁAW,CZESŁAW_72,2015-8-8
OSKAR,OSKAR_84,2018-8-11
EUGENIUSZ,EUGENIUSZ_15,1991-3-27
MARCEL,MARCEL_68,2014-2-2
BOGUSŁAW,BOGUSŁAW_41,2020-11-17
STEFAN,STEFAN_48,1983-1-25
IRENEUSZ,IRENEUSZ_158,1981-2-13
MAKSYMILIAN,MAKSYMILIAN_35,2015-4-3
ZYGMUNT,ZYGMUNT_164,2009-3-26
MIŁOSZ,MIŁOSZ_150,1987-7-15
WITOLD,WITOLD_91,2002-4-15
SYLWESTER,SYLWESTER_99,2003-2-15
OLEKSANDR,OLEKSANDR_90,2009-5-11
WŁODZIMIERZ,WŁODZIMIERZ_193,2007-8-6
OLIWIER,OLIWIER_1,1984-10-28
ALAN,ALAN_194,1989-3-22
NIKODEM,NIKODEM_30,2000-9-6
ZENON,ZENON_195,1995-3-27
LEON,LEON_94,1995-4-22
