name, surname, ageInYears
PIOTR,PIOTR_47,41
KRZYSZTOF,KRZYSZTOF_31,14
ANDRZEJ,ANDRZEJ_149,9
TOMASZ,TOMASZ_130,31
PAWEŁ,PAWEŁ_39,30
JAN,JAN_94,13
MICHAŁ,MICHAŁ_103,40
MARCIN,MARCIN_161,22
JAKUB,JAKUB_146,34
ADAM,ADAM_105,10
STANISŁAW,STANISŁAW_183,20
MAREK,MAREK_42,16
ŁUKASZ,ŁUKASZ_48,3
GRZEGORZ,GRZEGORZ_75,26
MATEUSZ,MATEUSZ_1,17
WOJCIECH,WOJCIECH_101,8
MARIUSZ,MARIUSZ_82,6
DARIUSZ,DARIUSZ_162,9
ZBIGNIEW,ZBIGNIEW_39,24
MACIEJ,MACIEJ_167,12
RAFAŁ,RAFAŁ_112,18
ROBERT,ROBERT_186,30
JERZY,JERZY_74,24
KAMIL,KAMIL_123,27
JACEK,JACEK_95,9
JÓZEF,JÓZEF_67,13
DAWID,DAWID_37,15
SZYMON,SZYMON_166,24
TADEUSZ,TADEUSZ_186,38
RYSZARD,RYSZARD_148,31
KACPER,KACPER_132,17
BARTOSZ,BARTOSZ_1,8
JAROSŁAW,JAROSŁAW_122,6
JANUSZ,JANUSZ_79,35
SŁAWOMIR,SŁAWOMIR_94,1
ARTUR,ARTUR_119,6
MIROSŁAW,MIROSŁAW_142,37
SEBASTIAN,SEBASTIAN_29,8
DAMIAN,DAMIAN_89,1
HENRYK,HENRYK_190,29
PATRYK,PATRYK_34,6
DANIEL,DANIEL_12,2
PRZEMYSŁAW,PRZEMYSŁAW_190,12
KAROL,KAROL_93,15
ROMAN,ROMAN_73,38
KAZIMIERZ,KAZIMIERZ_165,7
FILIP,FILIP_24,8
ANTONI,ANTONI_19,13
WIESŁAW,WIESŁAW_145,35
ADRIAN,ADRIAN_113,14
MARIAN,MARIAN_178,14
ALEKSANDER,ALEKSANDER_67,40
ARKADIUSZ,ARKADIUSZ_45,5
DOMINIK,DOMINIK_10,5
FRANCISZEK,FRANCISZEK_137,34
